Nom;Apports;Categorie;Repas
Abricot;43;Fruit;petit dej, dejeuner, diner, en-cas
Ananas;55;Fruit;petit dej, dejeuner, diner, en-cas
Banane;88;Fruit;petit dej, dejeuner, diner, en-cas
Cerises;50;Fruit;petit dej, dejeuner, diner, en-cas
Citron;35;Fruit;petit dej, dejeuner, diner, en-cas
Coing;38;Fruit;petit dej, dejeuner, diner, en-cas
Figue;107;Fruit;petit dej, dejeuner, diner, en-cas
Fraises;32;Fruit;petit dej, dejeuner, diner, en-cas
Framboises;36;Fruit;petit dej, dejeuner, diner, en-cas
Fruit de la passion;97;Fruit;petit dej, dejeuner, diner, en-cas
Gingembre;80;Fruit;petit dej, dejeuner, diner, en-cas
Grenade;74;Fruit;petit dej, dejeuner, diner, en-cas
Kiwi;51;Fruit;petit dej, dejeuner, diner, en-cas
Litchi;66;Fruit;petit dej, dejeuner, diner, en-cas
Mandarine;50;Fruit;petit dej, dejeuner, diner, en-cas
Mangue;62;Fruit;petit dej, dejeuner, diner, en-cas
Melon Jaune;54;Fruit;petit dej, dejeuner, diner, en-cas
Mures;43;Fruit;petit dej, dejeuner, diner, en-cas
Mytrilles;35;Fruit;petit dej, dejeuner, diner, en-cas
Orange sanguine;45;Fruit;petit dej, dejeuner, diner, en-cas
Pamplemousse;50;Fruit;petit dej, dejeuner, diner, en-cas
Pasteque;30;Fruit;petit dej, dejeuner, diner, en-cas
Peche;41;Fruit;petit dej, dejeuner, diner, en-cas
Poire;55;Fruit;petit dej, dejeuner, diner, en-cas
Pomme;52;Fruit;petit dej, dejeuner, diner, en-cas
Prune;47;Fruit;petit dej, dejeuner, diner, en-cas
Raisins;70;Fruit;petit dej, dejeuner, diner, en-cas
Rhubarbe;21;Fruit;petit dej, dejeuner, diner, en-cas
Artichaut;47;Legume;dejeuner, diner
Asperge;18;Legume;dejeuner, diner
Aubergine;24;Legume;dejeuner, diner
Avocat;160;Legume;dejeuner, diner
Betterave;43;Legume;dejeuner, diner
Blette;19;Legume;dejeuner, diner
Brocoli;35;Legume;dejeuner, diner
Carotte;36;Legume;dejeuner, diner
Champignons;22;Legume;dejeuner, diner
Chou chinois;13;Legume;dejeuner, diner
Chou-fleur;25;Legume;dejeuner, diner
Chou frise;49;Legume;dejeuner, diner
Chou-rave;27;Legume;dejeuner, diner
Chou rouge;29;Legume;dejeuner, diner
Choux de Bruxelles;43;Legume;dejeuner, diner
Concombre;15;Legume;dejeuner, diner
Courgette;20;Legume;dejeuner, diner
Cresson;19;Legume;dejeuner, diner
epinards;23;Legume;dejeuner, diner
Fenouil;31;Legume;dejeuner, diner
Haricots verts;25;Legume;dejeuner, diner
Mais;108;Legume;dejeuner, diner
Oignons;40;Legume;dejeuner, diner
Patates douces;76;Legume;dejeuner, diner
Petits Pois;82;Legume;dejeuner, diner
Poireau;31;Legume;dejeuner, diner
Poivron;21;Legume;dejeuner, diner
Pommes de terre;86;Legume;dejeuner, diner
Potiron;19;Legume;dejeuner, diner
Radis;16;Legume;dejeuner, diner
Roquette;25;Legume;dejeuner, diner
